#,name,primary_type,secondary_type,total,hp,attack,defense,sp_atk,sp_def,speed,variant,stat_tier,type_combo,is_dual_type,offensive_power,defensive_bulk,speed_tier
382,Kyogre,Water,,770,100,150,90,180,160,90,Primal,Legendary (700+),Water,False,99.6,97.8,Average
382,Kyogre,Water,,670,100,100,90,150,140,90,,Very Strong (580-699),Water,False,95.6,95.89999999999999,Average
383,Groudon,Ground,Fire,770,100,180,160,150,90,90,Primal,Legendary (700+),Ground / Fire,True,99.6,97.8,Average
383,Groudon,Ground,,670,100,150,140,100,90,90,,Very Strong (580-699),Ground,False,95.6,95.89999999999999,Average
384,Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,Mega,Legendary (700+),Dragon / Flying,True,100.0,91.2,Fast
384,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,,Very Strong (580-699),Dragon / Flying,True,99.3,85.3,Average
385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,,Very Strong (580-699),Steel / Psychic,True,82.69999999999999,89.9,Average
387,Turtwig,Grass,,318,55,68,64,45,55,31,,Weak (300-399),Grass,False,24.6,28.499999999999996,Very Slow
388,Grotle,Grass,,405,75,89,85,55,65,36,,Average (400-499),Grass,False,44.4,54.800000000000004,Very Slow
389,Torterra,Grass,Ground,525,95,109,105,75,85,56,,Strong (500-579),Grass / Ground,True,72.89999999999999,85.3,Slow
390,Chimchar,Fire,,309,44,58,44,58,44,61,,Weak (300-399),Fire,False,26.700000000000003,10.6,Slow
391,Monferno,Fire,Fighting,405,64,78,52,78,52,81,,Average (400-499),Fire / Fighting,True,54.1,25.3,Average
392,Infernape,Fire,Fighting,534,76,104,71,104,71,108,,Strong (500-579),Fire / Fighting,True,86.2,50.5,Fast
393,Piplup,Water,,314,53,51,53,61,56,40,,Weak (300-399),Water,False,24.4,22.8,Very Slow
394,Prinplup,Water,,405,64,66,68,81,76,50,,Average (400-499),Water,False,48.0,44.800000000000004,Slow
395,Empoleon,Water,Steel,530,84,86,88,111,101,60,,Strong (500-579),Water / Steel,True,80.9,80.60000000000001,Slow
396,Starly,Normal,Flying,245,40,55,30,30,30,60,,Very Weak (<300),Normal / Flying,True,8.6,2.1,Slow
397,Staravia,Normal,Flying,340,55,75,50,40,40,80,,Weak (300-399),Normal / Flying,True,25.7,15.2,Average
398,Staraptor,Normal,Flying,485,85,120,70,50,60,100,,Average (400-499),Normal / Flying,True,63.3,48.699999999999996,Average
399,Bidoof,Normal,,250,59,45,40,35,40,31,,Very Weak (<300),Normal,False,6.5,12.7,Very Slow
400,Bibarel,Normal,Water,410,79,85,60,55,60,71,,Average (400-499),Normal / Water,True,41.6,40.300000000000004,Average
401,Kricketot,Bug,,194,37,25,41,25,41,25,,Very Weak (<300),Bug,False,1.4000000000000001,5.2,Very Slow
402,Kricketune,Bug,,384,77,85,51,55,51,65,,Weak (300-399),Bug,False,41.6,30.7,Slow
403,Shinx,Electric,,263,45,65,34,40,34,45,,Very Weak (<300),Electric,False,19.400000000000002,3.9,Very Slow
404,Luxio,Electric,,363,60,85,49,60,49,60,,Weak (300-399),Electric,False,46.0,20.599999999999998,Slow
405,Luxray,Electric,,523,80,120,79,95,79,70,,Strong (500-579),Electric,False,89.0,60.5,Slow
406,Budew,Grass,Poison,280,40,30,35,50,70,55,,Very Weak (<300),Grass / Poison,True,6.5,15.2,Slow
407,Roserade,Grass,Poison,515,60,70,65,125,105,90,,Strong (500-579),Grass / Poison,True,79.80000000000001,57.099999999999994,Average
408,Cranidos,Rock,,350,67,125,40,30,30,58,,Weak (300-399),Rock,False,53.300000000000004,12.2,Slow
409,Rampardos,Rock,,495,97,165,60,65,50,58,,Average (400-499),Rock,False,92.7,44.4,Slow
410,Shieldon,Rock,Steel,350,30,42,118,42,88,30,,Weak (300-399),Rock / Steel,True,7.8,60.0,Very Slow
411,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,,Average (400-499),Rock / Steel,True,15.299999999999999,98.7,Very Slow
412,Burmy,Bug,,224,40,29,45,29,45,36,Plant Cloak,Very Weak (<300),Bug,False,2.0,9.5,Very Slow
412,Burmy,Bug,,224,40,29,45,29,45,36,Sandy Cloak,Very Weak (<300),Bug,False,2.0,9.5,Very Slow
412,Burmy,Bug,,224,40,29,45,29,45,36,Trash Cloak,Very Weak (<300),Bug,False,2.0,9.5,Very Slow
412,Burmy Plant Cloak,Bug,,224,40,29,45,29,45,36,,Very Weak (<300),Bug,False,2.0,9.5,Very Slow
412,Burmy Sandy Cloak,Bug,,224,40,29,45,29,45,36,,Very Weak (<300),Bug,False,2.0,9.5,Very Slow
412,Burmy Trash Cloak,Bug,,224,40,29,45,29,45,36,,Very Weak (<300),Bug,False,2.0,9.5,Very Slow
413,Wormadam,Bug,Grass,424,60,59,85,79,105,36,Plant Cloak,Average (400-499),Bug / Grass,True,39.2,67.5,Very Slow
413,Wormadam,Bug,Ground,424,60,79,105,59,85,36,Sandy Cloak,Average (400-499),Bug / Ground,True,39.2,67.5,Very Slow
413,Wormadam,Bug,Steel,424,60,69,95,69,95,36,Trash Cloak,Average (400-499),Bug / Steel,True,39.2,67.5,Very Slow
413,Wormadam Plant Cloak,Bug,Grass,424,60,59,85,79,105,36,,Average (400-499),Bug / Grass,True,39.2,67.5,Very Slow
413,Wormadam Sandy Cloak,Bug,Ground,424,60,79,105,59,85,36,,Average (400-499),Bug / Ground,True,39.2,67.5,Very Slow
413,Wormadam Trash Cloak,Bug,Steel,424,60,69,95,69,95,36,,Average (400-499),Bug / Steel,True,39.2,67.5,Very Slow
414,Mothim,Bug,Flying,424,70,94,50,94,50,66,,Average (400-499),Bug / Flying,True,75.1,26.900000000000002,Slow
415,Combee,Bug,Flying,244,30,30,42,30,42,70,,Very Weak (<300),Bug / Flying,True,2.7,4.0,Slow
416,Vespiquen,Bug,Flying,474,70,80,102,80,102,40,,Average (400-499),Bug / Flying,True,56.3,80.80000000000001,Very Slow
417,Pachirisu,Electric,,405,60,45,70,45,90,95,,Average (400-499),Electric,False,10.8,52.2,Average
418,Buizel,Water,,330,55,65,35,60,30,85,,Weak (300-399),Water,False,32.1,6.1,Average
419,Floatzel,Water,,495,85,105,55,85,50,115,,Average (400-499),Water,False,76.3,36.4,Fast
420,Cherubi,Grass,,275,45,35,45,62,53,35,,Very Weak (<300),Grass,False,14.7,14.000000000000002,Very Slow
421,Cherrim,Grass,,450,70,60,70,87,78,85,,Average (400-499),Grass,False,48.0,50.5,Average
422,Shellos,Water,,325,76,48,48,57,62,34,,Weak (300-399),Water,False,19.400000000000002,34.599999999999994,Very Slow
423,Gastrodon,Water,Ground,475,111,83,68,92,82,39,,Average (400-499),Water / Ground,True,67.0,74.2,Very Slow
424,Ambipom,Normal,,482,75,100,66,60,66,115,,Average (400-499),Normal,False,56.3,44.4,Fast
425,Drifloon,Ghost,Flying,348,90,50,34,60,44,70,,Weak (300-399),Ghost / Flying,True,22.6,25.3,Slow
426,Drifblim,Ghost,Flying,498,150,80,44,90,54,80,,Average (400-499),Ghost / Flying,True,63.3,65.8,Average
427,Buneary,Normal,,350,55,66,44,44,56,85,,Weak (300-399),Normal,False,22.6,19.7,Average
428,Lopunny,Normal,Fighting,580,65,136,94,54,96,135,Mega,Strong (500-579),Normal / Fighting,True,76.3,70.39999999999999,Very Fast
428,Lopunny,Normal,,480,65,76,84,54,96,105,,Average (400-499),Normal,False,34.699999999999996,64.9,Fast
429,Mismagius,Ghost,,495,60,60,60,105,105,105,,Average (400-499),Ghost,False,59.5,54.800000000000004,Fast
430,Honchkrow,Dark,Flying,505,100,125,52,105,52,71,,Strong (500-579),Dark / Flying,True,92.7,42.9,Average
431,Glameow,Normal,,310,49,55,42,42,37,85,,Weak (300-399),Normal,False,14.7,8.4,Average
432,Purugly,Normal,,452,71,82,64,64,59,112,,Average (400-499),Normal,False,47.699999999999996,38.3,Fast
433,Chingling,Psychic,,285,45,30,50,65,50,45,,Very Weak (<300),Psychic,False,13.8,15.2,Very Slow
434,Stunky,Poison,Dark,329,63,63,47,41,41,74,,Weak (300-399),Poison / Dark,True,18.5,18.5,Average
435,Skuntank,Poison,Dark,479,103,93,67,71,61,84,,Average (400-499),Poison / Dark,True,58.4,57.9,Average
436,Bronzor,Steel,Psychic,300,57,24,86,24,86,23,,Very Weak (<300),Steel / Psychic,True,1.0999999999999999,56.3,Very Slow
437,Bronzong,Steel,Psychic,500,67,89,116,79,116,33,,Average (400-499),Steel / Psychic,True,61.3,89.0,Very Slow
438,Bonsly,Rock,,290,50,80,95,10,45,10,,Very Weak (<300),Rock,False,10.8,36.4,Very Slow
439,Mime Jr.,Psychic,Fairy,310,20,25,45,70,90,60,,Weak (300-399),Psychic / Fairy,True,13.8,19.7,Slow
440,Happiny,Normal,,220,100,5,5,15,65,30,,Very Weak (<300),Normal,False,0.1,26.900000000000002,Very Slow
441,Chatot,Normal,Flying,411,76,65,45,92,42,91,,Average (400-499),Normal / Flying,True,54.400000000000006,23.1,Average
442,Spiritomb,Ghost,Dark,485,50,92,108,92,108,35,,Average (400-499),Ghost / Dark,True,72.89999999999999,77.0,Very Slow
443,Gible,Dragon,Ground,300,58,70,45,40,45,42,,Very Weak (<300),Dragon / Ground,True,22.6,16.900000000000002,Very Slow
444,Gabite,Dragon,Ground,410,68,90,65,50,55,82,,Average (400-499),Dragon / Ground,True,41.6,35.0,Average
445,Garchomp,Dragon,Ground,700,108,170,115,120,95,92,Mega,Very Strong (580-699),Dragon / Ground,True,99.0,94.0,Average
445,Garchomp,Dragon,Ground,600,108,130,95,80,85,102,,Very Strong (580-699),Dragon / Ground,True,87.3,86.3,Fast
446,Munchlax,Normal,,390,135,85,40,40,85,5,,Weak (300-399),Normal,False,32.1,73.0,Very Slow
447,Riolu,Fighting,,285,40,70,40,35,40,60,,Very Weak (<300),Fighting,False,19.400000000000002,6.1,Slow
448,Lucario,Fighting,Steel,625,70,145,88,140,70,112,Mega,Very Strong (580-699),Fighting / Steel,True,98.7,55.900000000000006,Fast
448,Lucario,Fighting,Steel,525,70,110,70,115,70,90,,Strong (500-579),Fighting / Steel,True,91.60000000000001,46.1,Average
449,Hippopotas,Ground,,330,68,72,78,38,42,32,,Weak (300-399),Ground,False,22.6,35.0,Very Slow
450,Hippowdon,Ground,,525,108,112,118,68,72,47,,Strong (500-579),Ground,False,70.3,88.8,Slow
451,Skorupi,Poison,Bug,330,40,50,90,30,55,65,,Weak (300-399),Poison / Bug,True,6.5,33.800000000000004,Slow
452,Drapion,Poison,Dark,500,70,90,110,60,75,95,,Average (400-499),Poison / Dark,True,50.3,70.39999999999999,Average
453,Croagunk,Poison,Fighting,300,48,61,40,61,40,50,,Very Weak (<300),Poison / Fighting,True,30.9,8.4,Slow
454,Toxicroak,Poison,Fighting,490,83,106,65,86,65,85,,Average (400-499),Poison / Fighting,True,77.9,47.3,Average
455,Carnivine,Grass,,454,74,100,72,90,72,46,,Average (400-499),Grass,False,76.3,50.5,Slow
456,Finneon,Water,,330,49,49,56,49,61,66,,Weak (300-399),Water,False,15.0,24.9,Slow
457,Lumineon,Water,,460,69,69,76,69,86,91,,Average (400-499),Water,False,39.2,57.9,Average
458,Mantyke,Water,Flying,345,45,20,50,60,120,50,,Weak (300-399),Water / Flying,True,6.5,48.699999999999996,Slow
459,Snover,Grass,Ice,334,60,62,50,62,60,40,,Weak (300-399),Grass / Ice,True,31.3,26.900000000000002,Very Slow
460,Abomasnow,Grass,Ice,594,90,132,105,132,105,30,Mega,Very Strong (580-699),Grass / Ice,True,97.39999999999999,89.9,Very Slow
460,Abomasnow,Grass,Ice,494,90,92,75,92,85,60,,Average (400-499),Grass / Ice,True,72.89999999999999,67.5,Slow
461,Weavile,Dark,Ice,510,70,120,65,45,85,125,,Strong (500-579),Dark / Ice,True,59.5,52.2,Fast
462,Magnezone,Electric,Steel,535,70,70,115,130,90,60,,Strong (500-579),Electric / Steel,True,82.69999999999999,81.8,Slow
463,Lickilicky,Normal,,515,110,85,95,80,95,50,,Strong (500-579),Normal,False,59.5,89.9,Slow
464,Rhyperior,Ground,Rock,535,115,140,130,55,55,40,,Strong (500-579),Ground / Rock,True,79.80000000000001,89.9,Very Slow
465,Tangrowth,Grass,,535,100,100,125,110,50,50,,Strong (500-579),Grass,False,87.3,81.8,Slow
466,Electivire,Electric,,540,75,123,67,95,85,95,,Strong (500-579),Electric,False,89.8,55.60000000000001,Average
467,Magmortar,Fire,,540,75,95,67,125,95,83,,Strong (500-579),Fire,False,90.4,60.199999999999996,Average
468,Togekiss,Fairy,Flying,545,85,50,95,120,115,80,,Strong (500-579),Fairy / Flying,True,63.3,88.4,Average
469,Yanmega,Bug,Flying,515,86,76,86,116,56,95,,Strong (500-579),Bug / Flying,True,77.9,55.900000000000006,Average
470,Leafeon,Grass,,525,65,110,130,60,65,95,,Strong (500-579),Grass,False,63.3,73.0,Average
471,Glaceon,Ice,,525,65,60,110,130,95,65,,Strong (500-579),Ice,False,76.3,78.9,Slow
472,Gliscor,Ground,Flying,510,75,95,125,45,75,95,,Strong (500-579),Ground / Flying,True,41.6,81.8,Average
473,MamoswineIce,Ground,,530,110,130,80,70,60,80,,Strong (500-579),Ground,False,82.69999999999999,67.5,Average
474,Porygon-Z,Normal,,535,85,80,70,135,75,90,,Strong (500-579),Normal,False,89.0,57.099999999999994,Average
475,Gallade,Psychic,Fighting,618,68,165,95,65,115,110,Mega,Very Strong (580-699),Psychic / Fighting,True,92.7,82.8,Fast
475,Gallade,Psychic,Fighting,518,68,125,65,65,115,80,,Strong (500-579),Psychic / Fighting,True,76.3,65.8,Average
476,Probopass,Rock,Steel,525,60,55,145,75,150,40,,Strong (500-579),Rock / Steel,True,34.699999999999996,98.3,Very Slow
477,Dusknoir,Ghost,,525,45,100,135,65,135,45,,Strong (500-579),Ghost,False,59.5,93.5,Very Slow
478,FroslassIce,Ghost,,480,70,80,70,80,70,110,,Average (400-499),Ghost,False,56.3,46.1,Fast
479,Rotom,Electric,Flying,520,50,65,107,105,107,86,Fan,Strong (500-579),Electric / Flying,True,63.3,75.1,Average
479,Rotom,Electric,Ice,520,50,65,107,105,107,86,Frost,Strong (500-579),Electric / Ice,True,63.3,75.1,Average
479,Rotom,Electric,Fire,520,50,65,107,105,107,86,Heat,Strong (500-579),Electric / Fire,True,63.3,75.1,Average
479,Rotom,Electric,Grass,520,50,65,107,105,107,86,Mow,Strong (500-579),Electric / Grass,True,63.3,75.1,Average
479,Rotom,Electric,Water,520,50,65,107,105,107,86,Wash,Strong (500-579),Electric / Water,True,63.3,75.1,Average
479,Rotom,Electric,Ghost,440,50,50,77,95,77,91,,Average (400-499),Electric / Ghost,True,46.0,42.9,Average
479,Rotom,Electric,,440,50,50,77,95,77,91,,Average (400-499),Electric,False,46.0,42.9,Average
480,Uxie,Psychic,,580,75,75,130,75,130,95,,Strong (500-579),Psychic,False,50.3,96.8,Average
481,Mesprit,Psychic,,580,80,105,105,105,105,80,,Strong (500-579),Psychic,False,87.3,87.0,Average
482,Azelf,Psychic,,580,75,125,70,125,70,115,,Strong (500-579),Psychic,False,95.6,48.699999999999996,Fast
483,Dialga,Steel,Dragon,680,100,100,120,150,120,90,Origin Form,Very Strong (580-699),Steel / Dragon,True,95.6,97.1,Average
483,Dialga,Steel,Dragon,680,100,120,120,150,100,90,,Very Strong (580-699),Steel / Dragon,True,98.1,94.5,Average
484,Palkia,Water,Dragon,680,90,100,100,150,120,120,Origin Form,Very Strong (580-699),Water / Dragon,True,95.6,92.5,Fast
484,Palkia,Water,Dragon,680,90,120,100,150,120,100,,Very Strong (580-699),Water / Dragon,True,98.1,92.5,Average
485,Heatran,Fire,Steel,600,91,90,106,130,106,77,,Very Strong (580-699),Fire / Steel,True,90.4,90.60000000000001,Average
486,Regigigas,Normal,,670,110,160,110,80,110,100,,Very Strong (580-699),Normal,False,94.1,95.89999999999999,Average
487,Giratina,Ghost,Dragon,680,150,100,120,100,120,90,Altered Form,Very Strong (580-699),Ghost / Dragon,True,82.69999999999999,99.5,Average
487,Giratina,Ghost,Dragon,680,150,120,100,120,100,90,Origin Form,Very Strong (580-699),Ghost / Dragon,True,94.1,97.8,Average
488,Cresselia,Psychic,,580,120,70,110,75,120,85,,Strong (500-579),Psychic,False,46.0,97.8,Average
489,Phione,Water,,480,80,80,80,80,80,80,,Average (400-499),Water,False,56.3,62.3,Average
490,Manaphy,Water,,600,100,100,100,100,100,100,,Very Strong (580-699),Water,False,82.69999999999999,89.9,Average
491,Darkrai,Dark,,600,70,90,90,135,90,125,,Very Strong (580-699),Dark,False,91.60000000000001,67.5,Fast
493,Arceus,Normal,,720,120,120,120,120,120,120,,Legendary (700+),Normal,False,94.1,98.6,Fast
494,Victini,Psychic,Fire,600,100,100,100,100,100,100,,Very Strong (580-699),Psychic / Fire,True,82.69999999999999,89.9,Average
495,Snivy,Grass,,308,45,45,55,45,55,63,,Weak (300-399),Grass,False,10.8,19.7,Slow
496,Servine,Grass,,413,60,60,75,60,75,83,,Average (400-499),Grass,False,29.2,46.1,Average
497,Serperior,Grass,,528,75,75,95,75,95,113,,Strong (500-579),Grass,False,50.3,76.1,Fast
498,Tepig,Fire,,308,65,63,45,45,45,45,,Weak (300-399),Fire,False,20.9,19.7,Very Slow
499,Pignite,Fire,Fighting,418,90,93,55,70,55,55,,Average (400-499),Fire / Fighting,True,58.099999999999994,41.0,Slow
500,Emboar,Fire,Fighting,528,110,123,65,100,65,65,,Strong (500-579),Fire / Fighting,True,91.10000000000001,62.3,Slow
501,Oshawott,Water,,308,55,55,45,63,45,45,,Weak (300-399),Water,False,27.3,15.2,Very Slow
502,Dewott,Water,,413,75,75,60,83,60,60,,Average (400-499),Water,False,54.800000000000004,39.2,Slow
503,Samurott,Water,Dark,528,90,108,80,100,65,85,Hisuian,Strong (500-579),Water / Dark,True,86.2,59.199999999999996,Average
503,Samurott,Water,,528,95,100,85,108,70,70,,Strong (500-579),Water,False,86.2,67.5,Slow
504,Patrat,Normal,,255,45,55,39,35,39,42,,Very Weak (<300),Normal,False,10.8,7.000000000000001,Very Slow
505,Watchog,Normal,,420,60,85,69,60,69,77,,Average (400-499),Normal,False,46.0,40.2,Average
506,Lillipup,Normal,,275,45,60,45,25,45,55,,Very Weak (<300),Normal,False,8.6,11.5,Slow
507,Herdier,Normal,,370,65,80,65,35,65,60,,Weak (300-399),Normal,False,25.7,39.2,Slow
508,Stoutland,Normal,,500,85,110,90,45,90,80,,Average (400-499),Normal,False,53.300000000000004,76.1,Average
509,Purrloin,Dark,,281,41,50,37,50,37,66,,Very Weak (<300),Dark,False,16.6,4.6,Slow
510,Liepard,Dark,,446,64,88,50,88,50,106,,Average (400-499),Dark,False,68.2,23.3,Fast
511,Pansage,Grass,,316,50,53,48,53,48,64,,Weak (300-399),Grass,False,20.4,16.3,Slow
512,Simisage,Grass,,498,75,98,63,98,63,101,,Average (400-499),Grass,False,80.7,41.9,Fast
513,Pansear,Fire,,316,50,53,48,53,48,64,,Weak (300-399),Fire,False,20.4,16.3,Slow
514,Simisear,Fire,,498,75,98,63,98,63,101,,Average (400-499),Fire,False,80.7,41.9,Fast
515,Panpour,Water,,316,50,53,48,53,48,64,,Weak (300-399),Water,False,20.4,16.3,Slow
516,Simipour,Water,,498,75,98,63,98,63,101,,Average (400-499),Water,False,80.7,41.9,Fast
517,Munna,Psychic,,292,76,25,45,67,55,24,,Very Weak (<300),Psychic,False,12.8,30.2,Very Slow
518,Musharna,Psychic,,487,116,55,85,107,95,29,,Average (400-499),Psychic,False,57.9,88.7,Very Slow
519,Pidove,Normal,Flying,264,50,55,50,36,30,43,,Very Weak (<300),Normal / Flying,True,12.3,9.5,Very Slow
520,Tranquill,Normal,Flying,358,62,77,62,50,42,65,,Weak (300-399),Normal / Flying,True,33.0,24.9,Slow
521,Unfezant,Normal,Flying,488,80,115,80,65,55,93,,Average (400-499),Normal / Flying,True,70.3,48.699999999999996,Average
522,Blitzle,Electric,,295,45,60,32,50,32,76,,Very Weak (<300),Electric,False,22.6,3.2,Average
523,Zebstrika,Electric,,497,75,100,63,80,63,116,,Average (400-499),Electric,False,70.3,41.9,Fast
524,Roggenrola,Rock,,280,55,75,85,25,25,15,,Very Weak (<300),Rock,False,16.6,24.099999999999998,Very Slow
525,Boldore,Rock,,390,70,105,105,50,40,20,,Weak (300-399),Rock,False,53.300000000000004,48.699999999999996,Very Slow
526,Gigalith,Rock,,515,85,135,130,60,80,25,,Strong (500-579),Rock,False,79.80000000000001,88.4,Very Slow
527,Woobat,Psychic,Flying,323,65,45,43,55,43,72,,Weak (300-399),Psychic / Flying,True,16.6,18.5,Average
528,Swoobat,Psychic,Flying,425,67,57,55,77,55,114,,Average (400-499),Psychic / Flying,True,36.5,30.4,Fast
529,Drilbur,Ground,,328,60,85,40,30,45,68,,Weak (300-399),Ground,False,25.7,15.2,Slow
530,Excadrill,Ground,Steel,508,110,135,60,50,65,88,,Strong (500-579),Ground / Steel,True,74.0,59.199999999999996,Average
531,Audino,Normal,Fairy,545,103,60,126,80,126,50,Mega,Strong (500-579),Normal / Fairy,True,41.6,98.3,Slow
531,Audino,Normal,,445,103,60,86,60,86,50,,Average (400-499),Normal,False,29.2,81.8,Slow
532,Timburr,Fighting,,305,75,80,55,25,35,35,,Weak (300-399),Fighting,False,19.400000000000002,24.099999999999998,Very Slow
533,Gurdurr,Fighting,,405,85,105,85,40,50,40,,Average (400-499),Fighting,False,46.0,52.2,Very Slow
534,Conkeldurr,Fighting,,505,105,140,95,55,65,45,,Strong (500-579),Fighting,False,79.80000000000001,76.1,Very Slow
535,Tympole,Water,,294,50,50,40,50,40,64,,Very Weak (<300),Water,False,16.6,9.5,Slow
536,Palpitoad,Water,Ground,384,75,65,55,65,55,69,,Weak (300-399),Water / Ground,True,34.699999999999996,33.800000000000004,Slow
537,Seismitoad,Water,Ground,509,105,95,75,85,75,74,,Strong (500-579),Water / Ground,True,70.3,70.39999999999999,Average
538,Throh,Fighting,,465,120,100,85,30,85,45,,Average (400-499),Fighting,False,34.699999999999996,87.0,Very Slow
539,Sawk,Fighting,,465,75,125,75,30,75,85,,Average (400-499),Fighting,False,53.300000000000004,54.800000000000004,Average
540,Sewaddle,Bug,Grass,310,45,53,70,40,60,42,,Weak (300-399),Bug / Grass,True,13.0,29.4,Very Slow
541,Swadloon,Bug,Grass,380,55,63,90,50,80,42,,Weak (300-399),Bug / Grass,True,24.6,54.800000000000004,Very Slow
542,Leavanny,Bug,Grass,500,75,103,80,70,80,92,,Average (400-499),Bug / Grass,True,65.7,59.199999999999996,Average
543,Venipede,Bug,Poison,260,30,45,59,30,39,57,,Very Weak (<300),Bug / Poison,True,5.2,8.4,Slow
544,Whirlipede,Bug,Poison,360,40,55,99,40,79,47,,Weak (300-399),Bug / Poison,True,13.8,50.5,Slow
545,Scolipede,Bug,Poison,485,60,100,89,55,69,112,,Average (400-499),Bug / Poison,True,53.300000000000004,50.5,Fast
546,Cottonee,Grass,Fairy,280,40,27,60,37,50,66,,Very Weak (<300),Grass / Fairy,True,3.2,17.599999999999998,Slow
547,Whimsicott,Grass,Fairy,480,60,67,85,77,75,116,,Average (400-499),Grass / Fairy,True,44.4,52.2,Fast
548,Petilil,Grass,,280,45,35,50,70,50,30,,Very Weak (<300),Grass,False,19.400000000000002,15.2,Very Slow
549,Lilligant,Grass,Fighting,480,70,105,75,50,75,105,Hisuian,Average (400-499),Grass / Fighting,True,53.300000000000004,52.2,Fast
549,Lilligant,Grass,,480,70,60,75,110,75,90,,Average (400-499),Grass,False,63.3,52.2,Average
550,Basculin,Water,,460,70,92,65,80,55,98,Blue-Striped Form,Average (400-499),Water,False,65.3,36.4,Average
550,Basculin,Water,,460,70,92,65,80,55,98,Red-Striped Form,Average (400-499),Water,False,65.3,36.4,Average
550,Basculin,Water,,460,70,92,65,80,55,98,White-Striped Form,Average (400-499),Water,False,65.3,36.4,Average
551,Sandile,Ground,Dark,292,50,72,35,35,35,65,,Very Weak (<300),Ground / Dark,True,20.7,6.1,Slow
552,Krokorok,Ground,Dark,351,60,82,45,45,45,74,,Weak (300-399),Ground / Dark,True,33.0,17.599999999999998,Average
553,Krookodile,Ground,Dark,519,95,117,80,65,70,92,,Strong (500-579),Ground / Dark,True,72.3,64.9,Average
554,Darumaka,Ice,,315,70,90,45,15,45,50,Galarian,Weak (300-399),Ice,False,19.400000000000002,21.8,Slow
554,Darumaka,Fire,,315,70,90,45,15,45,50,,Weak (300-399),Fire,False,19.400000000000002,21.8,Slow
555,Darmanitan,Ice,,480,105,140,55,30,55,95,Galarian Standard,Average (400-499),Ice,False,63.3,48.699999999999996,Average
555,Darmanitan,Ice,Fire,540,105,160,55,30,55,135,Galarian Zen,Strong (500-579),Ice / Fire,True,76.3,48.699999999999996,Very Fast
556,Maractus,Grass,,461,75,86,67,106,67,60,,Average (400-499),Grass,False,77.9,45.1,Slow
557,Dwebble,Bug,Rock,325,50,65,85,35,35,55,,Weak (300-399),Bug / Rock,True,16.6,26.900000000000002,Slow
558,Crustle,Bug,Rock,485,70,105,125,65,75,45,,Average (400-499),Bug / Rock,True,63.3,78.9,Very Slow
559,Scraggy,Dark,Fighting,348,50,75,70,35,70,48,,Weak (300-399),Dark / Fighting,True,22.6,36.4,Slow
560,Scrafty,Dark,Fighting,488,65,90,115,45,115,58,,Average (400-499),Dark / Fighting,True,37.6,88.4,Slow
561,Sigilyph,Psychic,Flying,490,72,58,80,103,80,97,,Average (400-499),Psychic / Flying,True,57.599999999999994,58.099999999999994,Average
562,Yamask,Ground,Ghost,303,38,55,85,30,65,30,Galarian,Weak (300-399),Ground / Ghost,True,8.6,35.0,Very Slow
562,Yamask,Ghost,,303,38,30,85,55,65,30,,Weak (300-399),Ghost,False,8.6,35.0,Very Slow
563,Cofagrigus,Ghost,,483,58,50,145,95,105,30,,Average (400-499),Ghost,False,46.0,91.9,Very Slow
564,Tirtouga,Water,Rock,355,54,78,103,53,45,22,,Weak (300-399),Water / Rock,True,36.0,42.3,Very Slow
565,Carracosta,Water,Rock,495,74,108,133,83,65,32,,Average (400-499),Water / Rock,True,77.60000000000001,80.30000000000001,Very Slow
566,Archen,Rock,Flying,401,55,112,45,74,45,70,,Average (400-499),Rock / Flying,True,74.9,15.2,Slow
567,Archeops,Rock,Flying,567,75,140,65,112,65,110,,Strong (500-579),Rock / Flying,True,96.3,43.6,Fast
568,Trubbish,Poison,,329,50,50,62,40,62,65,,Weak (300-399),Poison,False,10.8,28.499999999999996,Slow
569,Garbodor,Poison,,474,80,95,82,60,82,75,,Average (400-499),Poison,False,53.300000000000004,64.3,Average
570,Zorua,Normal,Ghost,330,35,60,40,85,40,70,Hisuian,Weak (300-399),Normal / Ghost,True,46.0,4.6,Slow
570,Zorua,Dark,,330,40,65,40,80,40,65,,Weak (300-399),Dark,False,46.0,6.1,Slow
571,Zoroark,Normal,Ghost,510,60,105,60,120,60,105,Hisuian,Strong (500-579),Normal / Ghost,True,91.60000000000001,31.6,Fast
571,Zoroark,Dark,,510,60,105,60,120,60,105,,Strong (500-579),Dark,False,91.60000000000001,31.6,Fast
572,Minccino,Normal,,300,55,50,40,40,40,75,,Very Weak (<300),Normal,False,10.8,11.5,Average
573,Cinccino,Normal,,470,75,95,60,65,60,115,,Average (400-499),Normal,False,56.3,39.2,Fast
574,Gothita,Psychic,,290,45,30,50,55,65,45,,Very Weak (<300),Psychic,False,8.6,21.8,Very Slow
575,Gothorita,Psychic,,390,60,45,70,75,85,55,,Weak (300-399),Psychic,False,29.2,48.699999999999996,Slow
576,Gothitelle,Psychic,,490,70,55,95,95,110,65,,Average (400-499),Psychic,False,50.3,81.8,Slow
577,Solosis,Psychic,,290,45,30,40,105,50,20,,Very Weak (<300),Psychic,False,37.6,11.5,Very Slow
