b'# Name Type Total HP Attack Defense Sp. Atk Sp. Def Speed'
b'001 BulbasaurGrass Poison\n318\n45\n49\n49\n65\n65\n45'
b'623 GolurkGround Ghost\n483\n89\n124\n80\n55\n80\n55'
b'624 PawniardDark Steel\n340\n45\n85\n70\n40\n40\n60'
b'625 BisharpDark Steel\n490\n65\n125\n100\n60\n70\n70'
b'626 BouffalantNormal \n490\n95\n110\n95\n40\n95\n55'
b'627 RuffletNormal Flying\n350\n70\n83\n50\n37\n50\n60'
b'628 BraviaryNormal Flying\n510\n100\n123\n75\n57\n75\n80'
b'628 Braviary Hisuian BraviaryPsychic Flying\n510\n110\n83\n70\n112\n70\n65'
b'629 VullabyDark Flying\n370\n70\n55\n75\n45\n65\n60'
b'630 MandibuzzDark Flying\n510\n110\n65\n105\n55\n95\n80'
b'631 HeatmorFire \n484\n85\n97\n66\n105\n66\n65'
b'632 DurantBug Steel\n484\n58\n109\n112\n48\n48\n109'
b'633 DeinoDark Dragon\n300\n52\n65\n50\n45\n50\n38'
b'634 ZweilousDark Dragon\n420\n72\n85\n70\n65\n70\n58'
b'635 HydreigonDark Dragon\n600\n92\n105\n90\n125\n90\n98'
b'636 LarvestaBug Fire\n360\n55\n85\n55\n50\n55\n60'
b'637 VolcaronaBug Fire\n550\n85\n60\n65\n135\n105\n100'
b'638 CobalionSteel Fighting\n580\n91\n90\n129\n90\n72\n108'
b'639 TerrakionRock Fighting\n580\n91\n129\n90\n72\n90\n108'
b'640 VirizionGrass Fighting\n580\n91\n90\n72\n90\n129\n108'
b'641 Tornadus Incarnate FormeFlying \n580\n79\n115\n70\n125\n80\n111'
b'641 Tornadus Therian FormeFlying \n580\n79\n100\n80\n110\n90\n121'
b'642 Thundurus Incarnate FormeElectric Flying\n580\n79\n115\n70\n125\n80\n111'
b'642 Thundurus Therian FormeElectric Flying\n580\n79\n105\n70\n145\n80\n101'
b'643 ReshiramDragon Fire\n680\n100\n120\n100\n150\n120\n90'
b'644 ZekromDragon Electric\n680\n100\n150\n120\n120\n100\n90'
b'645 Landorus Incarnate FormeGround Flying\n600\n89\n125\n90\n115\n80\n101'
b'645 Landorus Therian FormeGround Flying\n600\n89\n145\n90\n105\n80\n91'
b'646 KyuremDragon Ice\n660\n125\n130\n90\n130\n90\n95'
b'646 Kyurem White KyuremDragon Ice\n700\n125\n120\n90\n170\n100\n95'
b'646 Kyurem Black KyuremDragon Ice\n700\n125\n170\n100\n120\n90\n95'
b'647 Keldeo Ordinary FormWater Fighting\n580\n91\n72\n90\n129\n90\n108'
b'647 Keldeo Resolute FormWater Fighting\n580\n91\n72\n90\n129\n90\n108'
b'648 Meloetta Aria FormeNormal Psychic\n600\n100\n77\n77\n128\n128\n90'
b'648 Meloetta Pirouette FormeNormal Fighting\n600\n100\n128\n90\n77\n77\n128'
b'649 GenesectBug Steel\n600\n71\n120\n95\n120\n95\n99'
b'650 ChespinGrass \n313\n56\n61\n65\n48\n45\n38'
b'651 QuilladinGrass \n405\n61\n78\n95\n56\n58\n57'
b'652 ChesnaughtGrass Fighting\n530\n88\n107\n122\n74\n75\n64'
b'653 FennekinFire \n307\n40\n45\n40\n62\n60\n60'
b'654 BraixenFire \n409\n59\n59\n58\n90\n70\n73'
b'655 DelphoxFire Psychic\n534\n75\n69\n72\n114\n100\n104'
b'656 FroakieWater \n314\n41\n56\n40\n62\n44\n71'
b'657 FrogadierWater \n405\n54\n63\n52\n83\n56\n97'
b'658 GreninjaWater Dark\n530\n72\n95\n67\n103\n71\n122'
b'658 Greninja Ash-GreninjaWater Dark\n640\n72\n145\n67\n153\n71\n132'
b'659 BunnelbyNormal \n237\n38\n36\n38\n32\n36\n57'
b'660 DiggersbyNormal Ground\n423\n85\n56\n77\n50\n77\n78'
b'661 FletchlingNormal Flying\n278\n45\n50\n43\n40\n38\n62'
b'662 FletchinderFire Flying\n382\n62\n73\n55\n56\n52\n84'
b'663 TalonflameFire Flying\n499\n78\n81\n71\n74\n69\n126'
b'664 ScatterbugBug \n200\n38\n35\n40\n27\n25\n35'
b'665 SpewpaBug \n213\n45\n22\n60\n27\n30\n29'
b'666 VivillonBug Flying\n411\n80\n52\n50\n90\n50\n89'
b'667 LitleoFire Normal\n369\n62\n50\n58\n73\n54\n72'
b'668 PyroarFire Normal\n507\n86\n68\n72\n109\n66\n106'
b'669 Flab\xc3\xa9b\xc3\xa9Fairy \n303\n44\n38\n39\n61\n79\n42'
b'670 FloetteFairy \n371\n54\n45\n47\n75\n98\n52'
b'671 FlorgesFairy \n552\n78\n65\n68\n112\n154\n75'
b'672 SkiddoGrass \n350\n66\n65\n48\n62\n57\n52'
b'673 GogoatGrass \n531\n123\n100\n62\n97\n81\n68'
b'674 PanchamFighting \n348\n67\n82\n62\n46\n48\n43'
b'675 PangoroFighting Dark\n495\n95\n124\n78\n69\n71\n58'
b'676 FurfrouNormal \n472\n75\n80\n60\n65\n90\n102'
b'677 EspurrPsychic \n355\n62\n48\n54\n63\n60\n68'
b'678 Meowstic MalePsychic \n466\n74\n48\n76\n83\n81\n104'
b'678 Meowstic FemalePsychic \n466\n74\n48\n76\n83\n81\n104'
b'679 HonedgeSteel Ghost\n325\n45\n80\n100\n35\n37\n28'
b'680 DoubladeSteel Ghost\n448\n59\n110\n150\n45\n49\n35'
b'681 Aegislash Shield FormeSteel Ghost\n500\n60\n50\n140\n50\n140\n60'
b'681 Aegislash Blade FormeSteel Ghost\n500\n60\n140\n50\n140\n50\n60'
b'682 SpritzeeFairy \n341\n78\n52\n60\n63\n65\n23'
b'683 AromatisseFairy \n462\n101\n72\n72\n99\n89\n29'
b'684 SwirlixFairy \n341\n62\n48\n66\n59\n57\n49'
b'685 SlurpuffFairy \n480\n82\n80\n86\n85\n75\n72'
b'686 InkayDark Psychic\n288\n53\n54\n53\n37\n46\n45'
b'687 MalamarDark Psychic\n482\n86\n92\n88\n68\n75\n73'
b'688 BinacleRock Water\n306\n42\n52\n67\n39\n56\n50'
b'689 BarbaracleRock Water\n500\n72\n105\n115\n54\n86\n68'
b'690 SkrelpPoison Water\n320\n50\n60\n60\n60\n60\n30'
b'691 DragalgePoison Dragon\n494\n65\n75\n90\n97\n123\n44'
b'692 ClauncherWater \n330\n50\n53\n62\n58\n63\n44'
b'693 ClawitzerWater \n500\n71\n73\n88\n120\n89\n59'
b'694 HelioptileElectric Normal\n289\n44\n38\n33\n61\n43\n70'
b'695 HelioliskElectric Normal\n481\n62\n55\n52\n109\n94\n109'
b'696 TyruntRock Dragon\n362\n58\n89\n77\n45\n45\n48'
b'697 TyrantrumRock Dragon\n521\n82\n121\n119\n69\n59\n71'
b'698 AmauraRock Ice\n362\n77\n59\n50\n67\n63\n46'
b'699 AurorusRock Ice\n521\n123\n77\n72\n99\n92\n58'
b'700 SylveonFairy \n525\n95\n65\n65\n110\n130\n60'
b'701 HawluchaFighting Flying\n500\n78\n92\n75\n74\n63\n118'
b'702 DedenneElectric Fairy\n431\n67\n58\n57\n81\n67\n101'
b'703 CarbinkRock Fairy\n500\n50\n50\n150\n50\n150\n50'
b'704 GoomyDragon \n300\n45\n50\n35\n55\n75\n40'
b'705 SliggooDragon \n452\n68\n75\n53\n83\n113\n60'
b'705 Sliggoo Hisuian SliggooSteel Dragon\n452\n58\n75\n83\n83\n113\n40'
b'706 GoodraDragon \n600\n90\n100\n70\n110\n150\n80'
b'706 Goodra Hisuian GoodraSteel Dragon\n600\n80\n100\n100\n110\n150\n60'
b'707 KlefkiSteel Fairy\n470\n57\n80\n91\n80\n87\n75'
b'708 PhantumpGhost Grass\n309\n43\n70\n48\n50\n60\n38'
b'709 TrevenantGhost Grass\n474\n85\n110\n76\n65\n82\n56'
b'710 Pumpkaboo Average SizeGhost Grass\n335\n49\n66\n70\n44\n55\n51'
b'710 Pumpkaboo Small SizeGhost Grass\n335\n44\n66\n70\n44\n55\n56'
b'710 Pumpkaboo Large SizeGhost Grass\n335\n54\n66\n70\n44\n55\n46'
b'710 Pumpkaboo Super SizeGhost Grass\n335\n59\n66\n70\n44\n55\n41'
b'711 Gourgeist Average SizeGhost Grass\n494\n65\n90\n122\n58\n75\n84'
b'711 Gourgeist Small SizeGhost Grass\n494\n55\n85\n122\n58\n75\n99'
b'711 Gourgeist Large SizeGhost Grass\n494\n75\n95\n122\n58\n75\n69'
b'711 Gourgeist Super SizeGhost Grass\n494\n85\n100\n122\n58\n75\n54'
b'712 BergmiteIce \n304\n55\n69\n85\n32\n35\n28'
b'713 AvaluggIce \n514\n95\n117\n184\n44\n46\n28'
b'713 Avalugg Hisuian AvaluggIce Rock\n514\n95\n127\n184\n34\n36\n38'
b'714 NoibatFlying Dragon\n245\n40\n30\n35\n45\n40\n55'
b'715 NoivernFlying Dragon\n535\n85\n70\n80\n97\n80\n123'
b'716 XerneasFairy \n680\n126\n131\n95\n131\n98\n99'
b'717 YveltalDark Flying\n680\n126\n131\n95\n131\n98\n99'
b'718 Zygarde 50% FormeDragon Ground\n600\n108\n100\n121\n81\n95\n95'
b'718 Zygarde 10% FormeDragon Ground\n486\n54\n100\n71\n61\n85\n115'
b'718 Zygarde Complete FormeDragon Ground\n708\n216\n100\n121\n91\n95\n85'
b'719 DiancieRock Fairy\n600\n50\n100\n150\n100\n150\n50'
b'719 Diancie Mega DiancieRock Fairy\n700\n50\n160\n110\n160\n110\n110'
b'720 Hoopa Hoopa ConfinedPsychic Ghost\n600\n80\n110\n60\n150\n130\n70'
b'720 Hoopa Hoopa UnboundPsychic Dark\n680\n80\n160\n60\n170\n130\n80'
b'721 VolcanionFire Water\n600\n80\n110\n120\n130\n90\n70'
b'722 RowletGrass Flying\n320\n68\n55\n55\n50\n50\n42'
b'723 DartrixGrass Flying\n420\n78\n75\n75\n70\n70\n52'
b'724 DecidueyeGrass Ghost\n530\n78\n107\n75\n100\n100\n70'
b'724 Decidueye Hisuian DecidueyeGrass Fighting\n530\n88\n112\n80\n95\n95\n60'
b'725 LittenFire \n320\n45\n65\n40\n60\n40\n70'
b'726 TorracatFire \n420\n65\n85\n50\n80\n50\n90'
b'727 IncineroarFire Dark\n530\n95\n115\n90\n80\n90\n60'
b'728 PopplioWater \n320\n50\n54\n54\n66\n56\n40'
b'729 BrionneWater \n420\n60\n69\n69\n91\n81\n50'
b'730 PrimarinaWater Fairy\n530\n80\n74\n74\n126\n116\n60'
b'731 PikipekNormal Flying\n265\n35\n75\n30\n30\n30\n65'
b'732 TrumbeakNormal Flying\n355\n55\n85\n50\n40\n50\n75'
b'733 ToucannonNormal Flying\n485\n80\n120\n75\n75\n75\n60'
b'734 YungoosNormal \n253\n48\n70\n30\n30\n30\n45'
b'735 GumshoosNormal \n418\n88\n110\n60\n55\n60\n45'
b'736 GrubbinBug \n300\n47\n62\n45\n55\n45\n46'
b'737 CharjabugBug Electric\n400\n57\n82\n95\n55\n75\n36'
b'738 VikavoltBug Electric\n500\n77\n70\n90\n145\n75\n43'
b'739 CrabrawlerFighting \n338\n47\n82\n57\n42\n47\n63'
b'740 CrabominableFighting Ice\n478\n97\n132\n77\n62\n67\n43'
b'741 Oricorio Baile StyleFire Flying\n476\n75\n70\n70\n98\n70\n93'
b'741 Oricorio Pom-Pom StyleElectric Flying\n476\n75\n70\n70\n98\n70\n93'
b"741 Oricorio Pa'u StylePsychic Flying\n476\n75\n70\n70\n98\n70\n93"
b'741 Oricorio Sensu StyleGhost Flying\n476\n75\n70\n70\n98\n70\n93'
b'742 CutieflyBug Fairy\n304\n40\n45\n40\n55\n40\n84'
b'743 RibombeeBug Fairy\n464\n60\n55\n60\n95\n70\n124'
b'744 RockruffRock \n280\n45\n65\n40\n30\n40\n60'
b'744 Rockruff Own Tempo RockruffRock \n280\n45\n65\n40\n30\n40\n60'
b'745 Lycanroc Midday FormRock \n487\n75\n115\n65\n55\n65\n112'
b'745 Lycanroc Midnight FormRock \n487\n85\n115\n75\n55\n75\n82'
b'745 Lycanroc Dusk FormRock \n487\n75\n117\n65\n55\n65\n110'
b'746 Wishiwashi Solo FormWater \n175\n45\n20\n20\n25\n25\n40'
b'746 Wishiwashi School FormWater \n620\n45\n140\n130\n140\n135\n30'
b'747 MareaniePoison Water\n305\n50\n53\n62\n43\n52\n45'
b'748 ToxapexPoison Water\n495\n50\n63\n152\n53\n142\n35'
b'749 MudbrayGround \n385\n70\n100\n70\n45\n55\n45'
b'750 MudsdaleGround \n500\n100\n125\n100\n55\n85\n35'
b'751 DewpiderWater Bug\n269\n38\n40\n52\n40\n72\n27'
b'752 AraquanidWater Bug\n454\n68\n70\n92\n50\n132\n42'
b'753 FomantisGrass \n250\n40\n55\n35\n50\n35\n35'
b'754 LurantisGrass \n480\n70\n105\n90\n80\n90\n45'
b'755 MorelullGrass Fairy\n285\n40\n35\n55\n65\n75\n15'
b'756 ShiinoticGrass Fairy\n405\n60\n45\n80\n90\n100\n30'
b'757 SalanditPoison Fire\n320\n48\n44\n40\n71\n40\n77'
b'758 SalazzlePoison Fire\n480\n68\n64\n60\n111\n60\n117'
b'759 StuffulNormal Fighting\n340\n70\n75\n50\n45\n50\n50'
b'760 BewearNormal Fighting\n500\n120\n125\n80\n55\n60\n60'
b'761 BounsweetGrass \n210\n42\n30\n38\n30\n38\n32'
b'762 SteeneeGrass \n290\n52\n40\n48\n40\n48\n62'
b'763 TsareenaGrass \n510\n72\n120\n98\n50\n98\n72'
b'764 ComfeyFairy \n485\n51\n52\n90\n82\n110\n100'
b'765 OranguruNormal Psychic\n490\n90\n60\n80\n90\n110\n60'
b'766 PassimianFighting \n490\n100\n120\n90\n40\n60\n80'
b'767 WimpodBug Water\n230\n25\n35\n40\n20\n30\n80'
b'768 GolisopodBug Water\n530\n75\n125\n140\n60\n90\n40'
b'769 SandygastGhost Ground\n320\n55\n55\n80\n70\n45\n15'
b'770 PalossandGhost Ground\n480\n85\n75\n110\n100\n75\n35'
b'771 PyukumukuWater \n410\n55\n60\n130\n30\n130\n5'
b'772 Type: NullNormal \n534\n95\n95\n95\n95\n95\n59'
b'773 SilvallyNormal \n570\n95\n95\n95\n95\n95\n95'
b'774 Minior Meteor FormRock Flying\n440\n60\n60\n100\n60\n100\n60'
b'774 Minior Core FormRock Flying\n500\n60\n100\n60\n100\n60\n120'
b'775 KomalaNormal \n480\n65\n115\n65\n75\n95\n65'
b'776 TurtonatorFire Dragon\n485\n60\n78\n135\n91\n85\n36'
b'777 TogedemaruElectric Steel\n435\n65\n98\n63\n40\n73\n96'
b'778 MimikyuGhost Fairy\n476\n55\n90\n80\n50\n105\n96'
b'779 BruxishWater Psychic\n475\n68\n105\n70\n70\n70\n92'
b'780 DrampaNormal Dragon\n485\n78\n60\n85\n135\n91\n36'
b'781 DhelmiseGhost Grass\n517\n70\n131\n100\n86\n90\n40'
b'782 Jangmo-oDragon \n300\n45\n55\n65\n45\n45\n45'
b'783 Hakamo-oDragon Fighting\n420\n55\n75\n90\n65\n70\n65'
b'784 Kommo-oDragon Fighting\n600\n75\n110\n125\n100\n105\n85'
b'785 Tapu KokoElectric Fairy\n570\n70\n115\n85\n95\n75\n130'
b'786 Tapu LelePsychic Fairy\n570\n70\n85\n75\n130\n115\n95'
b'787 Tapu BuluGrass Fairy\n570\n70\n130\n115\n85\n95\n75'
b'788 Tapu FiniWater Fairy\n570\n70\n75\n115\n95\n130\n85'
b'789 CosmogPsychic \n200\n43\n29\n31\n29\n31\n37'
b'790 CosmoemPsychic \n400\n43\n29\n131\n29\n131\n37'
b'791 SolgaleoPsychic Steel\n680\n137\n137\n107\n113\n89\n97'
b'792 LunalaPsychic Ghost\n680\n137\n113\n89\n137\n107\n97'
b'793 NihilegoRock Poison\n570\n109\n53\n47\n127\n131\n103'
b'794 BuzzwoleBug Fighting\n570\n107\n139\n139\n53\n53\n79'
b'795 PheromosaBug Fighting\n570\n71\n137\n37\n137\n37\n151'
b'796 XurkitreeElectric \n570\n83\n89\n71\n173\n71\n83'
b'797 CelesteelaSteel Flying\n570\n97\n101\n103\n107\n101\n61'
b'798 KartanaGrass Steel\n570\n59\n181\n131\n59\n31\n109'
b'799 GuzzlordDark Dragon\n570\n223\n101\n53\n97\n53\n43'
b'800 NecrozmaPsychic \n600\n97\n107\n101\n127\n89\n79'
b'800 Necrozma Dusk Mane NecrozmaPsychic Steel\n680\n97\n157\n127\n113\n109\n77'
b'800 Necrozma Dawn Wings NecrozmaPsychic Ghost\n680\n97\n113\n109\n157\n127\n77'
b'800 Necrozma Ultra NecrozmaPsychic Dragon\n754\n97\n167\n97\n167\n97\n129'
b'801 MagearnaSteel Fairy\n600\n80\n95\n115\n130\n115\n65'
b'802 MarshadowFighting Ghost\n600\n90\n125\n80\n90\n90\n125'
b'803 PoipolePoison \n420\n67\n73\n67\n73\n67\n73'
b'804 NaganadelPoison Dragon\n540\n73\n73\n73\n127\n73\n121'
b'805 StakatakaRock Steel\n570\n61\n131\n211\n53\n101\n13'
b'806 BlacephalonFire Ghost\n570\n53\n127\n53\n151\n79\n107'
b'807 ZeraoraElectric \n600\n88\n112\n75\n102\n80\n143'
b'808 MeltanSteel \n300\n46\n65\n65\n55\n35\n34'
b'809 MelmetalSteel \n600\n135\n143\n143\n80\n65\n34'
b'810 GrookeyGrass \n310\n50\n65\n50\n40\n40\n65'
b'811 ThwackeyGrass \n420\n70\n85\n70\n55\n60\n80'
b'812 RillaboomGrass \n530\n100\n125\n90\n60\n70\n85'
b'813 ScorbunnyFire \n310\n50\n71\n40\n40\n40\n69'
b'814 RabootFire \n420\n65\n86\n60\n55\n60\n94'
b'815 CinderaceFire \n530\n80\n116\n75\n65\n75\n119'
b'816 SobbleWater \n310\n50\n40\n40\n70\n40\n70'
b'817 DrizzileWater \n420\n65\n60\n55\n95\n55\n90'
b'818 InteleonWater \n530\n70\n85\n65\n125\n65\n120'
b'819 SkwovetNormal \n275\n70\n55\n55\n35\n35\n25'
b'820 GreedentNormal \n460\n120\n95\n95\n55\n75\n20'
b'821 RookideeFlying \n245\n38\n47\n35\n33\n35\n57'
b'822 CorvisquireFlying \n365\n68\n67\n55\n43\n55\n77'
b'823 CorviknightFlying Steel\n495\n98\n87\n105\n53\n85\n67'
b'824 BlipbugBug \n180\n25\n20\n20\n25\n45\n45'
b'825 DottlerBug Psychic\n335\n50\n35\n80\n50\n90\n30'
b'826 OrbeetleBug Psychic\n505\n60\n45\n110\n80\n120\n90'
b'827 NickitDark \n245\n40\n28\n28\n47\n52\n50'
b'828 ThievulDark \n455\n70\n58\n58\n87\n92\n90'
b'829 GossifleurGrass \n250\n40\n40\n60\n40\n60\n10'
b'830 EldegossGrass \n460\n60\n50\n90\n80\n120\n60'
b'831 WoolooNormal \n270\n42\n40\n55\n40\n45\n48'
b'832 DubwoolNormal \n490\n72\n80\n100\n60\n90\n88'
b'833 ChewtleWater \n284\n50\n64\n50\n38\n38\n44'
b'834 DrednawWater Rock\n485\n90\n115\n90\n48\n68\n74'
b'835 YamperElectric \n270\n59\n45\n50\n40\n50\n26'
b'836 BoltundElectric \n490\n69\n90\n60\n90\n60\n121'
b'837 RolycolyRock \n240\n30\n40\n50\n40\n50\n30'
b'838 CarkolRock Fire\n410\n80\n60\n90\n60\n70\n50'
b'839 CoalossalRock Fire\n510\n110\n80\n120\n80\n90\n30'
b'840 ApplinGrass Dragon\n260\n40\n40\n80\n40\n40\n20'
b'841 FlappleGrass Dragon\n485\n70\n110\n80\n95\n60\n70'
b'842 AppletunGrass Dragon\n485\n110\n85\n80\n100\n80\n30'
b'843 SilicobraGround \n315\n52\n57\n75\n35\n50\n46'
b'844 SandacondaGround \n510\n72\n107\n125\n65\n70\n71'
b'845 CramorantFlying Water\n475\n70\n85\n55\n85\n95\n85'
b'846 ArrokudaWater \n280\n41\n63\n40\n40\n30\n66'
b'847 BarraskewdaWater \n490\n61\n123\n60\n60\n50\n136'
b'848 ToxelElectric Poison\n242\n40\n38\n35\n54\n35\n40'
b'849 Toxtricity Amped FormElectric Poison\n502\n75\n98\n70\n114\n70\n75'
b'849 Toxtricity Low Key FormElectric Poison\n502\n75\n98\n70\n114\n70\n75'
b'850 SizzlipedeFire Bug\n305\n50\n65\n45\n50\n50\n45'
b'851 CentiskorchFire Bug\n525\n100\n115\n65\n90\n90\n65'
b'852 ClobbopusFighting \n310\n50\n68\n60\n50\n50\n32'
b'853 GrapploctFighting \n480\n80\n118\n90\n70\n80\n42'
b'854 SinisteaGhost \n308\n40\n45\n45\n74\n54\n50'
b'855 PolteageistGhost \n508\n60\n65\n65\n134\n114\n70'
b'856 HatennaPsychic \n265\n42\n30\n45\n56\n53\n39'
b'857 HattremPsychic \n370\n57\n40\n65\n86\n73\n49'
b'858 HatterenePsychic Fairy\n510\n57\n90\n95\n136\n103\n29'
b'859 ImpidimpDark Fairy\n265\n45\n45\n30\n55\n40\n50'
b'860 MorgremDark Fairy\n370\n65\n60\n45\n75\n55\n70'
b'861 GrimmsnarlDark Fairy\n510\n95\n120\n65\n95\n75\n60'
b'862 ObstagoonDark Normal\n520\n93\n90\n101\n60\n81\n95'
b'863 PerrserkerSteel \n440\n70\n110\n100\n50\n60\n50'
b'864 CursolaGhost \n510\n60\n95\n50\n145\n130\n30'
b"865 Sirfetch'dFighting \n507\n62\n135\n95\n68\n82\n65"
b'866 Mr. RimeIce Psychic\n520\n80\n85\n75\n110\n100\n70'
b'867 RunerigusGround Ghost\n483\n58\n95\n145\n50\n105\n30'
b'868 MilceryFairy \n270\n45\n40\n40\n50\n61\n34'
b'869 AlcremieFairy \n495\n65\n60\n75\n110\n121\n64'
b'870 FalinksFighting \n470\n65\n100\n100\n70\n60\n75'
b'871 PincurchinElectric \n435\n48\n101\n95\n91\n85\n15'
b'872 SnomIce Bug\n185\n30\n25\n35\n45\n30\n20'
b'873 FrosmothIce Bug\n475\n70\n65\n60\n125\n90\n65'
b'874 StonjournerRock \n470\n100\n125\n135\n20\n20\n70'
b'875 Eiscue Ice FaceIce \n470\n75\n80\n110\n65\n90\n50'
b'875 Eiscue Noice FaceIce \n470\n75\n80\n70\n65\n50\n130'
b'876 Indeedee MalePsychic Normal\n475\n60\n65\n55\n105\n95\n95'
b'876 Indeedee FemalePsychic Normal\n475\n70\n55\n65\n95\n105\n85'
b'877 Morpeko Full Belly ModeElectric Dark\n436\n58\n95\n58\n70\n58\n97'
b'877 Morpeko Hangry ModeElectric Dark\n436\n58\n95\n58\n70\n58\n97'
b'878 CufantSteel \n330\n72\n80\n49\n40\n49\n40'
b'879 CopperajahSteel \n500\n122\n130\n69\n80\n69\n30'
b'880 DracozoltElectric Dragon\n505\n90\n100\n90\n80\n70\n75'
b'881 ArctozoltElectric Ice\n505\n90\n100\n90\n90\n80\n55'
b'882 DracovishWater Dragon\n505\n90\n90\n100\n70\n80\n75'
b'883 ArctovishWater Ice\n505\n90\n90\n100\n80\n90\n55'
b'884 DuraludonSteel Dragon\n535\n70\n95\n115\n120\n50\n85'
b'885 DreepyDragon Ghost\n270\n28\n60\n30\n40\n30\n82'
b'886 DrakloakDragon Ghost\n410\n68\n80\n50\n60\n50\n102'
b'887 DragapultDragon Ghost\n600\n88\n120\n75\n100\n75\n142'
b'888 Zacian Hero of Many BattlesFairy \n660\n92\n120\n115\n80\n115\n138'
b'888 Zacian Crowned SwordFairy Steel\n700\n92\n150\n115\n80\n115\n148'
b'889 Zamazenta Hero of Many BattlesFighting \n660\n92\n120\n115\n80\n115\n138'
b'889 Zamazenta Crowned ShieldFighting Steel\n700\n92\n120\n140\n80\n140\n128'
b'890 EternatusPoison Dragon\n690\n140\n85\n95\n145\n95\n130'
b'890 Eternatus EternamaxPoison Dragon\n1125\n255\n115\n250\n125\n250\n130'
b'891 KubfuFighting \n385\n60\n90\n60\n53\n50\n72'
b'892 Urshifu Single Strike StyleFighting Dark\n550\n100\n130\n100\n63\n60\n97'
b'892 Urshifu Rapid Strike StyleFighting Water\n550\n100\n130\n100\n63\n60\n97'
b'893 ZarudeDark Grass\n600\n105\n120\n105\n70\n95\n105'
b'894 RegielekiElectric \n580\n80\n100\n50\n100\n50\n200'
b'895 RegidragoDragon \n580\n200\n100\n50\n100\n50\n80'
b'896 GlastrierIce \n580\n100\n145\n130\n65\n110\n30'
b'897 SpectrierGhost \n580\n100\n65\n60\n145\n80\n130'
b'898 CalyrexPsychic Grass\n500\n100\n80\n80\n80\n80\n80'
b'898 Calyrex Ice RiderPsychic Ice\n680\n100\n165\n150\n85\n130\n50'
b'898 Calyrex Shadow RiderPsychic Ghost\n680\n100\n85\n80\n165\n100\n150'
b'899 WyrdeerNormal Psychic\n525\n103\n105\n72\n105\n75\n65'
b'900 KleavorBug Rock\n500\n70\n130\n95\n45\n75\n85'
b'901 UrsalunaGround Normal\n550\n130\n140\n105\n45\n80\n50'
b'902 Basculegion MaleWater Ghost\n530\n120\n112\n65\n80\n75\n78'
b'902 Basculegion FemaleWater Ghost\n530\n120\n92\n65\n100\n75\n78'
b'903 SneaslerPoison Fighting\n510\n80\n130\n60\n40\n80\n120'
b'904 OverqwilDark Poison\n510\n85\n115\n95\n65\n65\n85'
b'905 Enamorus Incarnate FormeFairy Flying\n580\n74\n115\n70\n135\n80\n106'
b'905 Enamorus Therian FormeFairy Flying\n580\n74\n115\n110\n135\n100\n46'
b'906 SprigatitoGrass \n310\n40\n61\n54\n45\n45\n65'
b'907 FloragatoGrass \n410\n61\n80\n63\n60\n63\n83'
b'908 MeowscaradaGrass Dark\n530\n76\n110\n70\n81\n70\n123'
b'909 FuecocoFire \n310\n67\n45\n59\n63\n40\n36'
b'910 CrocalorFire \n411\n81\n55\n78\n90\n58\n49'
b'911 SkeledirgeFire Ghost\n530\n104\n75\n100\n110\n75\n66'
b'912 QuaxlyWater \n310\n55\n65\n45\n50\n45\n50'
b'913 QuaxwellWater \n410\n70\n85\n65\n65\n60\n65'
b'914 QuaquavalWater Fighting\n530\n85\n120\n80\n85\n75\n85'
b'915 LechonkNormal \n254\n54\n45\n40\n35\n45\n35'
b'916 Oinkologne MaleNormal \n489\n110\n100\n75\n59\n80\n65'
b'916 Oinkologne FemaleNormal \n489\n115\n90\n70\n59\n90\n65'
b'917 TarountulaBug \n210\n35\n41\n45\n29\n40\n20'
b'918 SpidopsBug \n404\n60\n79\n92\n52\n86\n35'
b'919 NymbleBug \n210\n33\n46\n40\n21\n25\n45'
b'920 LokixBug Dark\n450\n71\n102\n78\n52\n55\n92'
b'921 PawmiElectric \n240\n45\n50\n20\n40\n25\n60'
b'922 PawmoElectric Fighting\n350\n60\n75\n40\n50\n40\n85'
b'923 PawmotElectric Fighting\n490\n70\n115\n70\n70\n60\n105'
b'924 TandemausNormal \n305\n50\n50\n45\n40\n45\n75'
b'925 Maushold Family of ThreeNormal \n470\n74\n75\n70\n65\n75\n111'
b'925 Maushold Family of FourNormal \n470\n74\n75\n70\n65\n75\n111'
b'926 FidoughFairy \n312\n37\n55\n70\n30\n55\n65'
b'927 DachsbunFairy \n477\n57\n80\n115\n50\n80\n95'
b'928 SmolivGrass Normal\n260\n41\n35\n45\n58\n51\n30'
b'929 DollivGrass Normal\n354\n52\n53\n60\n78\n78\n33'
b'930 ArbolivaGrass Normal\n510\n78\n69\n90\n125\n109\n39'
b'931 Squawkabilly Green PlumageNormal Flying\n417\n82\n96\n51\n45\n51\n92'
b'931 Squawkabilly Blue PlumageNormal Flying\n417\n82\n96\n51\n45\n51\n92'
b'931 Squawkabilly Yellow PlumageNormal Flying\n417\n82\n96\n51\n45\n51\n92'
b'931 Squawkabilly White PlumageNormal Flying\n417\n82\n96\n51\n45\n51\n92'
b'932 NacliRock \n280\n55\n55\n75\n35\n35\n25'
b'933 NaclstackRock \n355\n60\n60\n100\n35\n65\n35'
b'934 GarganaclRock \n500\n100\n100\n130\n45\n90\n35'
